album,title,artists,composers,time,date
Louis-Jean Cormier: Les Grandes Arteres,Vol Plane,Jean Cormier Louis,Jean  Louis Cormier,11:42pm,2016-04-30
Everything (Single),Everything,Chantal Acda,Chantal Acda,11:48pm,2016-04-30
"Alone, Not Alone",Figures Of A New Colour,Montag,Antoine Bedard,11:51pm,2016-04-30
Muuixx,Pommel Horse,Joyful Talk,Jay Crocker,11:55pm,2016-04-30
For Evelyn,Don't Go,Hannah Georgas,"Hannah Georgas, Ryan Guldemond",10:04pm,2016-05-02
The Cat With The Cream (Single),The Cat With The Cream,Belle & Sebastian,"Sarah Martin, Stevie Jackson, Bobby Kildea, Richard Colburn, Stuart Murdoch, Chris Geddes",10:08pm,2016-05-02
"I Love You, Honeybear",True Affection,Father John Misty,Josh Tillman,10:14pm,2016-05-02
It's Decided,Who Came First,Andy Kim,"Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew",10:18pm,2016-05-02
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",10:24pm,2016-05-02
Wild Ones,Time,Peirson,Peirson Ross,10:29pm,2016-05-02
Work (Single),Work,Charlotte Day Wilson,Charlotte Day Wilson,10:34pm,2016-05-02
The Loodies,Dry,The Loodies,Ludovic Alarie,10:37pm,2016-05-02
Yann Perreau: Le Fantastique Des Astres,A L'amour Et A La Mer,Yann Perreau,"Tante Blanche, Yann Perreau",10:42pm,2016-05-02
Paradise (Single),Paradise,Emily Millard,Emily Millard,10:46pm,2016-05-02
"Les Inrockuptibles: Un Printemps 2016, Vol 1",Ether,Mogwai,Mogwai,10:52pm,2016-05-02
En Ensam Vandrare (Single),En Ensam Vandrare,Anna Von Hausswolff,Anna Von Hausswolff,10:57pm,2016-05-02
Twist (Single),Twist,Aero Flynn,Josh Scott,11:00pm,2016-05-02
Asgeir: In The Silence,Soothe This Pain,Asgeir,"Asgeir Trausti Einarsson, Orvar Thoreyjarson Smarason",11:03pm,2016-05-02
Someone Will Notice (Single),Someone Will Notice,Little Scream,Little Scream,11:08pm,2016-05-02
Lighght,Bittersweet Genesis For Him And Her,Kishi Bashi,Kishi Bashi,11:14pm,2016-05-02
Dream Magic,Anthem,Alana Yorke,Alana Yorke,11:19pm,2016-05-02
Southwestern Territory (Single),Southwestern Territory,The Mountain Goats,"Peter Hughes, Jon Wurster, John Darnielle",11:24pm,2016-05-02
My Father Was A Sailor,Into The Blue Sea,North Atlantic Explorers,Glenn D'cruze,11:28pm,2016-05-02
In Circles (Single),In Circles,Patrick Watson,Patrick Watson,11:31pm,2016-05-02
Poison (Single),Poison (Feat. Deebs),Milk & Bone,"Laurence Beaulne Lafond, Camille Poliquin",11:34pm,2016-05-02
The Ace (Single),The Ace,Artisan Loyalist,"Paul Fuellbrandt, Nathan Marshall, Jordan Yeo, Rob Batke",11:37pm,2016-05-02
Reminisce,Island,Etiquette,"Julie Fader, Graham Walsh",11:43pm,2016-05-02
Luxury Pond,Dear Shark,Luxury Pond,Dan Goldman,11:48pm,2016-05-02
Pacific Ocean (Single),Pacific Ocean,Dirty  Beaches,Dirty Beaches,11:52pm,2016-05-02
Burn The Witch (Single),Burn The Witch,Radiohead,Thom Yorke,10:03pm,2016-05-03
We Loved Her Dearly,Palm Trees,Lowell,"Lowell, James Bryan",10:07pm,2016-05-03
Phase,The Love You're Given (Radio Edit),Jack Garratt,"Lisa Fisher, Jack Garratt, Tom Hammer",10:13pm,2016-05-03
Strip,Thorns & Spades,Dear Criminals,"Frannie Holder, Charles Lavoie, Vincent Legault",10:16pm,2016-05-03
Notes,The Leftovers,Johan Agebjorn,Johan Agebjorn,10:20pm,2016-05-03
Wed 21,Ferocisimo,Juana Molina,Juana Molina,10:25pm,2016-05-03
This Cold Escape,Out The Window,Amos The Transparent,"Chris Wilson, James Nicol, Mike Yates, Dan Hay, Olenka Reshitnyk, Jonathan Chandler",10:29pm,2016-05-03
Get Happy (Single),Get Happy,Blue Hawaii,"Raphaelle Preston Standell, Alex Cowan",10:32pm,2016-05-03
Catching Echoes (Single),Catching Echoes,King Karoshi,"Alexy Guerer, Remi Denis, Antoine Poliquin, Patrick Dunphy",10:37pm,2016-05-03
From The Ground,Maria,"Shook Fool, Peter Oundjian",Peter Oundjian,10:41pm,2016-05-03
The Ship,Fickle Sun: The Hour Is Thin,Brian Eno,Brian Eno,10:46pm,2016-05-03
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,10:49pm,2016-05-03
Characters,Transportation,Julia Kent,Julia Kent,10:54pm,2016-05-03
In Roses,Braid,Gem Club,"Christopher Barnes, Ieva Berberian, Kristen Drymala",11:02pm,2016-05-03
Vestiges & Claws,Let It Carry You,Jose Gonzalez,Jose Gonzalez,11:08pm,2016-05-03
Sleep (Single),Sleep,Tom The Lion,Tom The Lion,11:13pm,2016-05-03
Hell (Single),Hell,Jordan Max,Jordan Max,11:18pm,2016-05-03
Carrie & Lowell,Blue Bucket Of Gold,Sufjan Stevens,Sufjan Stevens,11:22pm,2016-05-03
Animism,Caribou,Tanya Tagaq,Black Francis,11:28pm,2016-05-03
Museum With No Walls,Merry Go Round,Blood And Glass,Lisa Moore Iwanycki,11:32pm,2016-05-03
Pierre Kwenders: Popolipo (The Remixes)  Ep,Popolipo (Feat. Sjamsoedin),"Pierre Kwenders, Sjamsoedin","Pierre Kwenders,Samito",11:37pm,2016-05-03
Chasing Memories,Wings,Postmoderndisco,Postmoderndisco,11:44pm,2016-05-03
Larch,The Good Light,Larch,"Zander Sherman, Rory Stevens Jordan",11:49pm,2016-05-03
Inner Classics,Unsurfed Waves,Snowblink,Daniela Gesundheit,11:52pm,2016-05-03
"A Person Disguised As People: Forest City Series, Vol. 2",Visiting Hours (Zachary Gray Remix),"O'haara, Zachary Gray",O'haara,11:56pm,2016-05-03
Wonder (Single),Wonder,Gungor,"Lisa Gungor, Michael Gungor",10:04pm,2016-05-04
Past Life,Lady In White,Lost In The Trees,Ari Picker,10:08pm,2016-05-04
The Road To Nowhere (Single),The Road To Nowhere,Radical Face,Ben Cooper,10:13pm,2016-05-04
Club Meds,Club Meds,Dan Mangan + Blacksmith,Dan Mangan,10:18pm,2016-05-04
Numb (Single),Numb,These Brittle Bones,These Brittle Bones,10:21pm,2016-05-04
...Caruso's Brain...,When The City Fell,Selina Martin,Selina Martin,10:25pm,2016-05-04
Drive (Single),Drive,Britta Phillips,Ric Ocasek,10:28pm,2016-05-04
Modern Mind (Single),Modern Mind,Bry Webb,Bry Webb,10:33pm,2016-05-04
The Night (Single),The Night,Will Driving West,Daniel Ratte,10:38pm,2016-05-04
West (Single),West,"River Tiber, (Feat. Daniel Caesar)",River Tiber,10:42pm,2016-05-04
Let Me Know (Single),Let Me Know,Kalyna Rakel,Kalyna Rakel,10:46pm,2016-05-04
Sleeping Operator,How The Heroine Dies,The Barr Brothers,"Brad Barr, Andrew Barr, Sarah Page",10:50pm,2016-05-04
Il,Nostos,Michel Blais Jean,Michel  Jean Blais,10:55pm,2016-05-04
Lick My Wounds (Single),Lick My Wounds,The Do,"Olivia Merilahti, Dan Levy",11:03pm,2016-05-04
#88 (Single),#88,Fang Lo,Fang Lo,11:07pm,2016-05-04
"Neophyte, Ep",Fortify,Kate Miller,Kate Miller,11:13pm,2016-05-04
Multi-Love (Single),Multi-Love,Unknown Mortal Orchestra,Ruban Nielson,11:19pm,2016-05-04
Perch Patchwork,Perch Patchwork,Maps & Atlases,Dave Davison,11:22pm,2016-05-04
Suuns: Hold/Still,Un-No,Suuns,"Joseph Yarmush, Benjamin Shemie, Liam O'neill, Max Henry",11:28pm,2016-05-04
Folders (Single),Folders,"Ryan Playground, Ryan Hemsworth",Ryan Playground,11:32pm,2016-05-04
"A Person Disguised As People: Forest City Series, Vol. 2",Artlab 5,Phaneuf Ian Doig,Ian Phaneuf Doig,11:36pm,2016-05-04
A Heart Beats Through It (Single),A Heart Beats Through It,Our Founders,Michael Olsen,11:40pm,2016-05-04
Tomorrow's Modern Boxes,Guess Again!,Thom Yorke,Thom Yorke,11:44pm,2016-05-04
Fontarabie,Union Libre Avec La Peur,Fontarabie,"Julien Mineau, Virginie Parr",11:49pm,2016-05-04
Lisbonne Telegramme: Miroir D'automne,Miroirs D'automne,Lisbonne Telegramme,"Maritza, Francois (Can) Dufault, Martin Farmer, Eric Rathe",11:54pm,2016-05-04
The Last Fret,Something Overheard,Wendy Atkinson,Wendy Atkinson,11:59pm,2016-05-04
No No No,Gibraltar,Beirut,Zach Condon,10:04pm,2016-05-05
Christine And The Queens: Chaleur Humaine,Christine,Christine And The Queens,Christine And The Queens,10:07pm,2016-05-05
Luxuries (Single),Luxuries,Folded Like Fabric,"Connor Sims, Jay Mooncie",10:13pm,2016-05-05
Javelin,We Got Married,Jordan Klassen,Jordan Klassen,10:16pm,2016-05-05
Your Heart (Single),Your Heart,Liima,"Mads Brauer, Tatu Ronkko, Rasmus Stolberg, Casper Clausen",10:21pm,2016-05-05
Vulnicura,Stonemilker,Bjork,Bjork,10:26pm,2016-05-05
My Hero (Single),My Hero,Sway Ii Clarke,Sway Ii Clarke,10:34pm,2016-05-05
Magic Summertime (Single),Magic Summertime,Benji Hughes,Eleni Mandell,10:37pm,2016-05-05
Companion Ep,Companion,Braids,"Raphaelle Preston Standell, Austin Tufts, Taylor Smith",10:42pm,2016-05-05
Like What Ep,Too Long,Tennyson,Luke Tennyson,10:46pm,2016-05-05
Takes Time,Bring On The Night,Jim Guthrie,Jim Guthrie,10:51pm,2016-05-05
Little Hinges,"Hang Me, Oh Hang Me",Qristina & Quinn Bachand,Traditional,10:53pm,2016-05-05
Sigur Ros: Kveikur,Var,Sigur Ros,"Jonsi, Orri Pall Dyrason, Georg Holm",10:57pm,2016-05-05
Parades,Mirador,Efterklang,"Mads Brauer, Rune Fonseca Molgaard, Thomas Kirirath Husmer, Friedrich Leopold Stolberg, Casper Clausen",11:03pm,2016-05-05
St. Vincent (Deluxe),Pieta,"St. Vincent, John Congleton",St. Vincent,11:09pm,2016-05-05
You Don't Know Me (Single),You Don't Know Me,"The Polyphonic Spree, Set In Sand",Tim Delaughter,11:13pm,2016-05-05
Morning Dew (Single),Morning Dew,The National,"Bonnie Dobson, Tim Rose",11:18pm,2016-05-05
Blood Knowledge (Single),Blood Knowledge,Wild Beasts,"Tom Fleming, Chris Talbot, Ben Little, Hayden Thorpe",11:24pm,2016-05-05
Vieux Loup,Rapids,The Acorn,Rolf Klausener,11:28pm,2016-05-05
Another Eternity,Stillness In Woe,Purity Ring,"Corin Roddick, Megan James",11:33pm,2016-05-05
"A Person Disguised As People: Forest City Series, Vol. 1",Questionable Eyelevel Stars,Dreamsploitation,Chuck Blazevic,11:41pm,2016-05-05
The Apostate,Atheist Prayer,Art Bergmann,Art Bergmann,11:45pm,2016-05-05
Pink City,Truth Is The Freshest Fruit,Jennifer Castle,Jennifer Castle,11:51pm,2016-05-05
Colin Stetson / Sarah Neufeld:Never Were The Way S,Never Were The Way She Was,"Colin Stetson, Sarah Neufeld","Sarah Neufeld, Colin Stetson",11:53pm,2016-05-05
Love Songs For Robots,Places You Will Go,Patrick Watson,Patrick Watson,10:03pm,2016-05-06
The Sound Of My Name,Holiday,Duplekita,Tim Batke,10:08pm,2016-05-06
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",10:12pm,2016-05-06
Tookah,Tookah,Emiliana Torrini,Emiliana Torrini,10:15pm,2016-05-06
99 Cents,Chasing Shadows,Santigold,"Santigold, Rostam Batmanglij",10:19pm,2016-05-06
Dreamsphere,Epic Sweep,Aqua Alta,"Graeme Campbell, Charles Austin, Jenn Grant",10:22pm,2016-05-06
The Take Off And Landing Of Everything,New York Morning,Elbow,"Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter",10:27pm,2016-05-06
2007 Grammy Nominees,Hide And Seek,Imogen Heap,Imogen Heap,10:32pm,2016-05-06
Instinct (Single),Instinct,These Brittle Bones,These Brittle Bones,10:36pm,2016-05-06
Hologramme: Hologramme,Upright,Hologramme,"Clement Leduc,Hologramme",10:40pm,2016-05-06
Person A,Lullaby,Edward Sharpe And The Magnetic Zeros,"Alex Ebert, Mitchell Yoshida",10:45pm,2016-05-06
Anthropology,Albert Johnson,Paul Bergman,Paul Bergman,10:49pm,2016-05-06
Degree One,Ursula,Dj Champion,Dj Champion,10:57pm,2016-05-06
Give Up,We Will Become Silhouettes,The Postal Service,"Benjamin Gibbard, Jimmy Tamborello",11:04pm,2016-05-06
After All (Single),After All,Charlotte Day Wilson,Charlotte Day Wilson,11:10pm,2016-05-06
Change Is Everything (Single),Change Is Everything,Son Lux,Son Lux,11:14pm,2016-05-06
Did You Have To (Single),Did You Have To,Jagwar Ma,Jagwar Ma,11:18pm,2016-05-06
Companion,Oxidized,Alicia Hansen,"Ben Brown, Alicia Hansen",11:21pm,2016-05-06
Mama Says (Single),Mama Says,Ibeyi,"Kainde  Lisa Diaz, Naomi Diaz",11:25pm,2016-05-06
Caveman,Strange To Suffer,Caveman,"Sam Hopkins, Matthew Iwanusa, Stefan Marolachakis, James Carbonetti, Jeff Berrall",11:29pm,2016-05-06
Yann Perreau: Le Fantastique Des Astres,Mon Amour Est Un Loup,Yann Perreau,"Tante Blanche, Yann Perreau",11:32pm,2016-05-06
Lonely Ghost,Silica,Artisan Loyalist,Artisan Loyalist,11:36pm,2016-05-06
A Torrid Marriage Of Logic And Emotion,On That Day,Programm,"Jackie Game, Andrew Reesor, Mark Game, Jacob Soma",11:42pm,2016-05-06
Outside,Strange Form Of Life,Cfcf,Cfcf,11:45pm,2016-05-06
"Glitch, Vol. 1: Soundscapes Of Ur, Game Soundtrack","Glitch, Video Game Music/Nottis",Daniel Simmons,Daniel Simmons,11:52pm,2016-05-06
Spoiler,You're Gonna Hear From Me,Stanley Turrentine,"Dory Previn, Andre Previn",10:01pm,2016-05-07
Third Floor Richard,Band Call,Ed Bickert,Duke Ellington,10:06pm,2016-05-07
Nancy Wilson / Cannonball Adderl,Happy Talk,Nancy Wilson,Joe Zawinul,10:12pm,2016-05-07
Kind Of Blue,So What,Miles Davis,,10:14pm,2016-05-07
Russ Little: Footwork,Up Jumped Spring,Russ Little,"Freddie Hubbard, Abbey Lincoln",10:23pm,2016-05-07
Just Friends,Know It All,The Canadian Jazz Quartet,Joao Donato,10:29pm,2016-05-07
Ask Me Later,Sunday Morning,"Phil Dwyer, Don Thompson",Phil Dwyer,10:34pm,2016-05-07
Duke Ellington: Indigos,Mood Indigo,Duke Ellington,Jacques Prevert,10:40pm,2016-05-07
Diana Panton: To Brazil With Love,So Nice,Diana Panton,"Marcos Valle, Norman Gimbel, Paulo Sergio Valle",10:43pm,2016-05-07
Deep In A Dream,Something To Live For,Pat Labarbera,Joe Labarbera,10:47pm,2016-05-07
Melody Gardot: Worrisome Heart,Worrisome Heart,Melody Gardot,Melody Gardot,10:51pm,2016-05-07
Tell You How I Feel,Same Old Blues,Michael Kaeshammer,,10:55pm,2016-05-07
So There,Yes Man,"Ben Folds, Ymusic",Ben Folds,11:03pm,2016-05-07
Lurid Glow,Amanda,Reptar,"William Kennedy, Graham Ulicny, Andrew Mcfarland, Ryan Engelberger",11:07pm,2016-05-07
Burn The Witch (Single),Burn The Witch,Radiohead,Thom Yorke,11:13pm,2016-05-07
Hard Believer,Looking Too Closely,Fink,"Fin Greenall, Guy Whittaker, Tim Thornton",11:17pm,2016-05-07
Nevermind (Single),Nevermind,Nathalie Kraemer,Nathalie Kraemer,11:23pm,2016-05-07
It's Alright Now (Single),It's Alright Now,Bombay Bicycle Club,Jack Steadman,11:27pm,2016-05-07
Anchor,Great Equator,Zammuto,Nick Zammuto,11:32pm,2016-05-07
Epilogue,Dompter Mes Mirages,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",11:36pm,2016-05-07
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:42pm,2016-05-07
A Quiet Evening At Home,Sea Monkeys,Nick Buzz,"Jonathan Goldsmith, Martin Tielli, Hugh Marsh, Rob Piltch",11:45pm,2016-05-07
From Gold (Single),From Gold,Novo Amor,Ali Lacey,11:51pm,2016-05-07
Pressure (Single),Pressure,Milk And Bone,"Laurence Beaulne Lafond, Camille Poliquin",11:55pm,2016-05-07
It Will Record,Zelda's Shop,"Christine Bougie, Dafydd Hughes",Christine Bougie,11:59pm,2016-05-07
Stranger To Stranger,Wristband,Paul Simon,Paul Simon,10:00pm,2016-05-09
Tessellate (Ben De Vries Remix) (Single),Tessellate,"J Alt, Ben De Vries","Joe Newman, Thom Green, Gwilym Sainsbury, Gus Hamilton Unger",10:03pm,2016-05-09
Go On,Lawless,Paper Beat Scissors,Tim Crabtree,10:07pm,2016-05-09
Burn The Witch (Single),Burn The Witch,Radiohead,Thom Yorke,10:13pm,2016-05-09
Fire/Works: Shenanigans,Underneath Your Skin,Fire/Works,"Jonathan Peters, David Lagace",10:17pm,2016-05-09
The Colour In Anything,Radio Silence,"James Blake, Rick Rubin",James Blake,10:21pm,2016-05-09
Beck: Morning Phase,Waking Light,Beck,Beck,10:25pm,2016-05-09
Monster,Morning Light,Andrew Judah,Andrew Judah,10:31pm,2016-05-09
Sophomore,In My Solitude,Del Bel,Tyler Belluz,10:35pm,2016-05-09
Larch,Naked Trees,Larch,"Zander Sherman, Rory Stevens Jordan",10:40pm,2016-05-09
My Armour (Single),My Armour,Kathryn Calder,Kathryn Calder,10:44pm,2016-05-09
All Clear (Single),All Clear,Aidan Knight,Aidan Knight,10:49pm,2016-05-09
The Nines,Shack,Our Founders,Mike Olsen,10:53pm,2016-05-09
Foxglove,Foxglove High Fives,Blocktreat,Blocktreat,10:56pm,2016-05-09
The Bells (Radio Edit) (Single),The Bells,Lowell,"Paul Herman,Lowell, Justin Broad",11:03pm,2016-05-09
The Gentle Ep,"The Blur, The Line And The Thickest Of Onions",Little Comets,"Matthew Hall, Michael Coles, Robert Coles",11:08pm,2016-05-09
Digital Witness (Single),Digital Witness,St. Vincent,St. Vincent,11:11pm,2016-05-09
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",11:15pm,2016-05-09
Fire Editorial (Single),Fire Editorial,The Mountain Goats,"Peter Hughes, Jon Wurster, John Darnielle",11:20pm,2016-05-09
Ask Me This,Into Pieces,Alcoholic Faith Mission,"Thorben Jensen, Sune Solund, Morten Hyldahl, Anders Hjort, Gustav Rasmussen, Kristine Permild",11:23pm,2016-05-09
Taking Flight Ep,Angel,"Ryan Hemsworth, Lucas","Ryan Hemsworth,Lucas",11:28pm,2016-05-09
Leave Me Alone (Single),Leave Me Alone,"Kaytranada, Shay Lia",Kaytranada,11:31pm,2016-05-09
Louis-Jean Cormier: Les Grandes Arteres,Vol Plane,Jean Cormier Louis,Jean  Louis Cormier,11:36pm,2016-05-09
Fontarabie,Blastula,Fontarabie,"Julien Mineau, Virginie Parr",11:41pm,2016-05-09
Le Dernier Empereur Bantou,Mami Wata,Pierre Kwenders,Pierre Kwenders,11:45pm,2016-05-09
Beast To Bone,Jealous Guy,The Sands,John Lennon,11:50pm,2016-05-09
Hero Brother,Requiem For Douglas,Sarah Neufeld,Sarah Neufeld,11:55pm,2016-05-09
"I Love You, Honeybear",True Affection,Father John Misty,Josh Tillman,10:03pm,2016-05-10
Museum With No Walls,Photograph,Blood And Glass,Lisa Moore Iwanycki,10:07pm,2016-05-10
A Moon Shaped Pool,Identikit,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:13pm,2016-05-10
A Good Reason To Grow Old (Single),A Good Reason To Grow Old,Owl John,Owl John,10:17pm,2016-05-10
Asgeir: In The Silence,Soothe This Pain,Asgeir,"Asgeir Trausti Einarsson, Orvar Thoreyjarson Smarason",10:23pm,2016-05-10
Drive (Single),Drive,Britta Phillips,Ric Ocasek,10:27pm,2016-05-10
Hedera,Stewardess,Isaac Vallentin,Isaac Vallentin,10:32pm,2016-05-10
Past Life,Past Life,Lost In The Trees,"Ari Picker, Emma Nadeau, Drew Anagnost, Jenavieve Varga, Mark Daumen",10:36pm,2016-05-10
Tropical Oceans (Single),Tropical Oceans,D.D Dumbo,Oliver Hugh Perry,10:42pm,2016-05-10
Companion Ep,Companion,Braids,"Raphaelle Preston Standell, Austin Tufts, Taylor Smith",10:45pm,2016-05-10
The Party,The Magician,Andy Shauf,Andy Shauf,10:50pm,2016-05-10
Threadbare,Sparks,Boreal Sons,Boreal Sons,10:54pm,2016-05-10
The Runcible,Galleria,Dirty Inputs,Dirty Inputs,10:57pm,2016-05-10
Someone Will Notice (Single),Someone Will Notice,Little Scream,Little Scream,11:00pm,2016-05-10
Numb (Single),Numb,These Brittle Bones,These Brittle Bones,11:05pm,2016-05-10
Sparks,You Know Where To Find Me,Imogen Heap,Imogen Heap,11:10pm,2016-05-10
Flowers,Look At The Light,Sin Fang,Sin Fang,11:14pm,2016-05-10
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:19pm,2016-05-10
Walking With A Stranger (Single),Walking With A Stranger,Chris Staples,Chris Staples,11:23pm,2016-05-10
Go Out Ep,Tornado,"Jonsi, F*Ck Buttons",Jonsi Birgisson,11:27pm,2016-05-10
Foret,Je Tombe Avec La Pluie,Foret,"Emilie Laforest, Joseph Marchand, Kim Dore",11:33pm,2016-05-10
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",11:38pm,2016-05-10
Falsework,Body,Young Galaxy,"Catherine Mccandless, Matthew Shapiro, Stephen Ramsay",11:43pm,2016-05-10
Love Songs For Robots,Love Songs For Robots,Patrick Watson,Patrick Watson,11:50pm,2016-05-10
Fuck Off Get Free We Pour Light On Everything,Little One Runs,Thee Silver Mt. Zion Memorial Orchestra,"Efrim Menuck, Thierry Amar, David Payant, Jessica Moss, Sophie Trudeau",11:53pm,2016-05-10
Syro,Aisatsana,Aphex Twin,Aphex Twin,11:55pm,2016-05-10
Sleep (Single),Sleep,Tom The Lion,Tom The Lion,10:04pm,2016-05-11
This Is My Hand,Lover Killer,My Brightest Diamond,Shara Worden,10:08pm,2016-05-11
A Moon Shaped Pool,Daydreaming,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:13pm,2016-05-11
Sunshine On My Back (Single),Sunshine On My Back,The National,"Aaron Dessner, Scott Devendorf, Matt Berninger, Bryce Dessner, Bryan Devendorf",10:19pm,2016-05-11
Work (Single),Work,Charlotte Day Wilson,Charlotte Day Wilson,10:25pm,2016-05-11
Hey Love,Five Seasons,Hayden,Hayden,10:28pm,2016-05-11
Swim (Single),Swim,Douglas Dare,Douglas Dare,10:32pm,2016-05-11
Little Love Songs (Familiar Wild Rexmix) (Single),Little Love Songs,Jodi Doidge,Jodi Doidge,10:37pm,2016-05-11
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",10:40pm,2016-05-11
In Roses,Braid,Gem Club,"Christopher Barnes, Ieva Berberian, Kristen Drymala",10:43pm,2016-05-11
Magic Summertime (Single),Magic Summertime,Benji Hughes,Eleni Mandell,10:49pm,2016-05-11
Get Happy (Single),Get Happy,Blue Hawaii,"Raphaelle Preston Standell, Alex Cowan",10:53pm,2016-05-11
Sans Solace,It Starts,Dennis Goodwin,Dennis Goodwin,10:58pm,2016-05-11
Lime Habit (Single),Lime Habit,Polica,"Ryan Olson, Channy Leaneagh",11:00pm,2016-05-11
Carefully Try (Single),Carefully Try,"The Polyphonic Spree, Little People",Tim Delaughter,11:03pm,2016-05-11
Vestiges & Claws,Let It Carry You,Jose Gonzalez,Jose Gonzalez,11:09pm,2016-05-11
Supermoon - Ep,We Fell,S. Carey,S. Carey,11:14pm,2016-05-11
Love Waves,Lover/Hater,"Veda Hille, John Collins",Veda Hille,11:19pm,2016-05-11
Young Hymns,Little Fires,Gala,Aley Waterman,11:23pm,2016-05-11
Tremors,The Wheel,Sohn,Sohn,11:28pm,2016-05-11
West (Single),West,"River Tiber, (Feat. Daniel Caesar)",River Tiber,11:33pm,2016-05-11
This Cold Escape,Out The Window,Amos The Transparent,"Chris Wilson, James Nicol, Mike Yates, Dan Hay, Olenka Reshitnyk, Jonathan Chandler",11:36pm,2016-05-11
Another Eternity,Push Pull,Purity Ring,"Corin Roddick, Megan James",11:39pm,2016-05-11
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",11:42pm,2016-05-11
A Quiet Evening At Home,The Birds Of Lanark County,Nick Buzz,"Jonathan Goldsmith, Martin Tielli, Hugh Marsh, Rob Piltch",11:47pm,2016-05-11
New York (Single),New York,Milk And Bone,"Laurence Beaulne Lafond, Camille Poliquin",11:51pm,2016-05-11
Dance Music: Songs For Slow Motion,"Two Animals That Don't Exist, Falling In Love",Joshua Van Tassel,Joshua Van Tassel,11:54pm,2016-05-11
A Moon Shaped Pool,Decks Dark,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:04pm,2016-05-12
Bones + Longing,Chasing,Gemma Hayes,Gemma Hayes,10:09pm,2016-05-12
